"year","orig_msa","dest_msa","period","mode","purpose","nautos","trips"
2035,0,0,"AM","DA","Other",0,1117
2035,0,0,"AM","DA","Other",1,18499
2035,0,0,"AM","DA","Other",2,30681
2035,0,0,"AM","DA","Other",3,10992
2035,0,0,"AM","DA","Other",4,6761
2035,0,0,"AM","DA","Work",0,956
2035,0,0,"AM","DA","Work",1,19082
2035,0,0,"AM","DA","Work",2,23271
2035,0,0,"AM","DA","Work",3,7454
2035,0,0,"AM","DA","Work",4,3536
2035,0,0,"AM","NM","Other",0,28962
2035,0,0,"AM","NM","Other",1,26996
2035,0,0,"AM","NM","Other",2,19398
2035,0,0,"AM","NM","Other",3,6333
2035,0,0,"AM","NM","Other",4,4097
2035,0,0,"AM","NM","Work",0,9551
2035,0,0,"AM","NM","Work",1,5844
2035,0,0,"AM","NM","Work",2,3680
2035,0,0,"AM","NM","Work",3,1188
2035,0,0,"AM","NM","Work",4,673
2035,0,0,"AM","SR","Other",0,5760
2035,0,0,"AM","SR","Other",1,58280
2035,0,0,"AM","SR","Other",2,70966
2035,0,0,"AM","SR","Other",3,27725
2035,0,0,"AM","SR","Other",4,19406
2035,0,0,"AM","SR","Work",0,1012
2035,0,0,"AM","SR","Work",1,3924
2035,0,0,"AM","SR","Work",2,6108
2035,0,0,"AM","SR","Work",3,2393
2035,0,0,"AM","SR","Work",4,1377
2035,0,0,"AM","TRN","Other",0,5113
2035,0,0,"AM","TRN","Other",1,4321
2035,0,0,"AM","TRN","Other",2,4044
2035,0,0,"AM","TRN","Other",3,1232
2035,0,0,"AM","TRN","Other",4,948
2035,0,0,"AM","TRN","Work",0,5047
2035,0,0,"AM","TRN","Work",1,3414
2035,0,0,"AM","TRN","Work",2,2539
2035,0,0,"AM","TRN","Work",3,825
2035,0,0,"AM","TRN","Work",4,493
2035,0,0,"EA","DA","Other",0,11
2035,0,0,"EA","DA","Other",1,596
2035,0,0,"EA","DA","Other",2,922
2035,0,0,"EA","DA","Other",3,298
2035,0,0,"EA","DA","Other",4,218
2035,0,0,"EA","DA","Work",0,169
2035,0,0,"EA","DA","Work",1,2686
2035,0,0,"EA","DA","Work",2,3324
2035,0,0,"EA","DA","Work",3,1056
2035,0,0,"EA","DA","Work",4,546
2035,0,0,"EA","NM","Other",0,785
2035,0,0,"EA","NM","Other",1,829
2035,0,0,"EA","NM","Other",2,667
2035,0,0,"EA","NM","Other",3,232
2035,0,0,"EA","NM","Other",4,127
2035,0,0,"EA","NM","Work",0,1450
2035,0,0,"EA","NM","Work",1,685
2035,0,0,"EA","NM","Work",2,383
2035,0,0,"EA","NM","Work",3,107
2035,0,0,"EA","NM","Work",4,57
2035,0,0,"EA","SR","Other",0,98
2035,0,0,"EA","SR","Other",1,1353
2035,0,0,"EA","SR","Other",2,1512
2035,0,0,"EA","SR","Other",3,644
2035,0,0,"EA","SR","Other",4,546
2035,0,0,"EA","SR","Work",0,165
2035,0,0,"EA","SR","Work",1,339
2035,0,0,"EA","SR","Work",2,535
2035,0,0,"EA","SR","Work",3,230
2035,0,0,"EA","SR","Work",4,166
2035,0,0,"EA","TRN","Other",0,200
2035,0,0,"EA","TRN","Other",1,168
2035,0,0,"EA","TRN","Other",2,165
2035,0,0,"EA","TRN","Other",3,50
2035,0,0,"EA","TRN","Other",4,33
2035,0,0,"EA","TRN","Work",0,1035
2035,0,0,"EA","TRN","Work",1,725
2035,0,0,"EA","TRN","Work",2,538
2035,0,0,"EA","TRN","Work",3,137
2035,0,0,"EA","TRN","Work",4,97
2035,0,0,"MD","DA","Other",0,3423
2035,0,0,"MD","DA","Other",1,56029
2035,0,0,"MD","DA","Other",2,93631
2035,0,0,"MD","DA","Other",3,30350
2035,0,0,"MD","DA","Other",4,16030
2035,0,0,"MD","DA","Work",0,982
2035,0,0,"MD","DA","Work",1,26528
2035,0,0,"MD","DA","Work",2,26495
2035,0,0,"MD","DA","Work",3,8069
2035,0,0,"MD","DA","Work",4,3744
2035,0,0,"MD","NM","Other",0,101018
2035,0,0,"MD","NM","Other",1,79772
2035,0,0,"MD","NM","Other",2,65397
2035,0,0,"MD","NM","Other",3,19700
2035,0,0,"MD","NM","Other",4,11740
2035,0,0,"MD","NM","Work",0,9158
2035,0,0,"MD","NM","Work",1,9011
2035,0,0,"MD","NM","Work",2,4885
2035,0,0,"MD","NM","Work",3,1533
2035,0,0,"MD","NM","Work",4,753
2035,0,0,"MD","SR","Other",0,10506
2035,0,0,"MD","SR","Other",1,72542
2035,0,0,"MD","SR","Other",2,85234
2035,0,0,"MD","SR","Other",3,34154
2035,0,0,"MD","SR","Other",4,25344
2035,0,0,"MD","SR","Work",0,1043
2035,0,0,"MD","SR","Work",1,2583
2035,0,0,"MD","SR","Work",2,3777
2035,0,0,"MD","SR","Work",3,1608
2035,0,0,"MD","SR","Work",4,956
2035,0,0,"MD","TRN","Other",0,13874
2035,0,0,"MD","TRN","Other",1,9054
2035,0,0,"MD","TRN","Other",2,8230
2035,0,0,"MD","TRN","Other",3,2660
2035,0,0,"MD","TRN","Other",4,1936
2035,0,0,"MD","TRN","Work",0,4545
2035,0,0,"MD","TRN","Work",1,3493
2035,0,0,"MD","TRN","Work",2,2346
2035,0,0,"MD","TRN","Work",3,697
2035,0,0,"MD","TRN","Work",4,455
2035,0,0,"NT","DA","Other",0,533
2035,0,0,"NT","DA","Other",1,14292
2035,0,0,"NT","DA","Other",2,24618
2035,0,0,"NT","DA","Other",3,8565
2035,0,0,"NT","DA","Other",4,4566
2035,0,0,"NT","DA","Work",0,454
2035,0,0,"NT","DA","Work",1,16034
2035,0,0,"NT","DA","Work",2,15220
2035,0,0,"NT","DA","Work",3,4592
2035,0,0,"NT","DA","Work",4,2145
2035,0,0,"NT","NM","Other",0,21856
2035,0,0,"NT","NM","Other",1,25010
2035,0,0,"NT","NM","Other",2,20258
2035,0,0,"NT","NM","Other",3,6633
2035,0,0,"NT","NM","Other",4,4342
2035,0,0,"NT","NM","Work",0,6768
2035,0,0,"NT","NM","Work",1,6861
2035,0,0,"NT","NM","Work",2,3722
2035,0,0,"NT","NM","Work",3,1129
2035,0,0,"NT","NM","Work",4,581
2035,0,0,"NT","SR","Other",0,1225
2035,0,0,"NT","SR","Other",1,14299
2035,0,0,"NT","SR","Other",2,17447
2035,0,0,"NT","SR","Other",3,7789
2035,0,0,"NT","SR","Other",4,5915
2035,0,0,"NT","SR","Work",0,410
2035,0,0,"NT","SR","Work",1,1079
2035,0,0,"NT","SR","Work",2,1649
2035,0,0,"NT","SR","Work",3,688
2035,0,0,"NT","SR","Work",4,456
2035,0,0,"NT","TRN","Other",0,3168
2035,0,0,"NT","TRN","Other",1,2489
2035,0,0,"NT","TRN","Other",2,2330
2035,0,0,"NT","TRN","Other",3,829
2035,0,0,"NT","TRN","Other",4,662
2035,0,0,"NT","TRN","Work",0,2640
2035,0,0,"NT","TRN","Work",1,2363
2035,0,0,"NT","TRN","Work",2,1668
2035,0,0,"NT","TRN","Work",3,488
2035,0,0,"NT","TRN","Work",4,329
2035,0,0,"PM","DA","Other",0,1336
2035,0,0,"PM","DA","Other",1,23901
2035,0,0,"PM","DA","Other",2,41341
2035,0,0,"PM","DA","Other",3,13843
2035,0,0,"PM","DA","Other",4,7871
2035,0,0,"PM","DA","Work",0,1419
2035,0,0,"PM","DA","Work",1,32739
2035,0,0,"PM","DA","Work",2,36872
2035,0,0,"PM","DA","Work",3,11498
2035,0,0,"PM","DA","Work",4,5317
2035,0,0,"PM","NM","Other",0,43743
2035,0,0,"PM","NM","Other",1,40527
2035,0,0,"PM","NM","Other",2,31316
2035,0,0,"PM","NM","Other",3,9660
2035,0,0,"PM","NM","Other",4,6270
2035,0,0,"PM","NM","Work",0,14218
2035,0,0,"PM","NM","Work",1,11442
2035,0,0,"PM","NM","Work",2,7608
2035,0,0,"PM","NM","Work",3,2343
2035,0,0,"PM","NM","Work",4,1302
2035,0,0,"PM","SR","Other",0,5667
2035,0,0,"PM","SR","Other",1,38146
2035,0,0,"PM","SR","Other",2,45133
2035,0,0,"PM","SR","Other",3,18469
2035,0,0,"PM","SR","Other",4,13594
2035,0,0,"PM","SR","Work",0,1539
2035,0,0,"PM","SR","Work",1,3515
2035,0,0,"PM","SR","Work",2,5401
2035,0,0,"PM","SR","Work",3,2088
2035,0,0,"PM","SR","Work",4,1332
2035,0,0,"PM","TRN","Other",0,6348
2035,0,0,"PM","TRN","Other",1,4685
2035,0,0,"PM","TRN","Other",2,4606
2035,0,0,"PM","TRN","Other",3,1514
2035,0,0,"PM","TRN","Other",4,1093
2035,0,0,"PM","TRN","Work",0,6329
2035,0,0,"PM","TRN","Work",1,4865
2035,0,0,"PM","TRN","Work",2,3526
2035,0,0,"PM","TRN","Work",3,1132
2035,0,0,"PM","TRN","Work",4,651
2035,0,1,"AM","DA","Other",0,361
2035,0,1,"AM","DA","Other",1,3837
2035,0,1,"AM","DA","Other",2,6734
2035,0,1,"AM","DA","Other",3,2449
2035,0,1,"AM","DA","Other",4,1366
2035,0,1,"AM","DA","Work",0,798
2035,0,1,"AM","DA","Work",1,13290
2035,0,1,"AM","DA","Work",2,19867
2035,0,1,"AM","DA","Work",3,7288
2035,0,1,"AM","DA","Work",4,3498
2035,0,1,"AM","NM","Other",0,257
2035,0,1,"AM","NM","Other",1,255
2035,0,1,"AM","NM","Other",2,208
2035,0,1,"AM","NM","Other",3,61
2035,0,1,"AM","NM","Other",4,33
2035,0,1,"AM","NM","Work",0,469
2035,0,1,"AM","NM","Work",1,506
2035,0,1,"AM","NM","Work",2,356
2035,0,1,"AM","NM","Work",3,104
2035,0,1,"AM","NM","Work",4,41
2035,0,1,"AM","SR","Other",0,1738
2035,0,1,"AM","SR","Other",1,15092
2035,0,1,"AM","SR","Other",2,18825
2035,0,1,"AM","SR","Other",3,7542
2035,0,1,"AM","SR","Other",4,4677
2035,0,1,"AM","SR","Work",0,1023
2035,0,1,"AM","SR","Work",1,2220
2035,0,1,"AM","SR","Work",2,3802
2035,0,1,"AM","SR","Work",3,1757
2035,0,1,"AM","SR","Work",4,1163
2035,0,1,"AM","TRN","Other",0,3263
2035,0,1,"AM","TRN","Other",1,2464
2035,0,1,"AM","TRN","Other",2,1906
2035,0,1,"AM","TRN","Other",3,591
2035,0,1,"AM","TRN","Other",4,410
2035,0,1,"AM","TRN","Work",0,4991
2035,0,1,"AM","TRN","Work",1,2688
2035,0,1,"AM","TRN","Work",2,1980
2035,0,1,"AM","TRN","Work",3,655
2035,0,1,"AM","TRN","Work",4,408
2035,0,1,"EA","DA","Other",0,7
2035,0,1,"EA","DA","Other",1,129
2035,0,1,"EA","DA","Other",2,174
2035,0,1,"EA","DA","Other",3,86
2035,0,1,"EA","DA","Other",4,36
2035,0,1,"EA","DA","Work",0,298
2035,0,1,"EA","DA","Work",1,3140
2035,0,1,"EA","DA","Work",2,4407
2035,0,1,"EA","DA","Work",3,1537
2035,0,1,"EA","DA","Work",4,864
2035,0,1,"EA","NM","Other",0,8
2035,0,1,"EA","NM","Other",1,10
2035,0,1,"EA","NM","Other",2,9
2035,0,1,"EA","NM","Other",3,6
2035,0,1,"EA","NM","Other",4,3
2035,0,1,"EA","NM","Work",0,109
2035,0,1,"EA","NM","Work",1,99
2035,0,1,"EA","NM","Work",2,69
2035,0,1,"EA","NM","Work",3,29
2035,0,1,"EA","NM","Work",4,12
2035,0,1,"EA","SR","Other",0,35
2035,0,1,"EA","SR","Other",1,497
2035,0,1,"EA","SR","Other",2,725
2035,0,1,"EA","SR","Other",3,291
2035,0,1,"EA","SR","Other",4,173
2035,0,1,"EA","SR","Work",0,319
2035,0,1,"EA","SR","Work",1,440
2035,0,1,"EA","SR","Work",2,792
2035,0,1,"EA","SR","Work",3,370
2035,0,1,"EA","SR","Work",4,266
2035,0,1,"EA","TRN","Other",0,149
2035,0,1,"EA","TRN","Other",1,119
2035,0,1,"EA","TRN","Other",2,62
2035,0,1,"EA","TRN","Other",3,31
2035,0,1,"EA","TRN","Other",4,18
2035,0,1,"EA","TRN","Work",0,1419
2035,0,1,"EA","TRN","Work",1,782
2035,0,1,"EA","TRN","Work",2,511
2035,0,1,"EA","TRN","Work",3,177
2035,0,1,"EA","TRN","Work",4,119
2035,0,1,"MD","DA","Other",0,1027
2035,0,1,"MD","DA","Other",1,12824
2035,0,1,"MD","DA","Other",2,23190
2035,0,1,"MD","DA","Other",3,7677
2035,0,1,"MD","DA","Other",4,3591
2035,0,1,"MD","DA","Work",0,499
2035,0,1,"MD","DA","Work",1,9067
2035,0,1,"MD","DA","Work",2,13952
2035,0,1,"MD","DA","Work",3,5068
2035,0,1,"MD","DA","Work",4,2362
2035,0,1,"MD","NM","Other",0,1134
2035,0,1,"MD","NM","Other",1,1125
2035,0,1,"MD","NM","Other",2,1022
